revision,campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
candidate1,3,2,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5725508,295,4
candidate1,3,2,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,258967,2377,288,4
candidate1,3,2,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,93147,6358,288,4
candidate1,3,2,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9834,61368,289,4
candidate1,3,2,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,643,975936,291,4
candidate1,3,2,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5491398,307,4
candidate1,3,3,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,251228,2360,288,4
candidate1,3,3,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,79358,7614,288,4
candidate1,3,3,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9488,62194,289,4
candidate1,3,3,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,627,1033483,291,4
candidate1,3,3,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5194006,307,4
candidate1,3,3,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,252199,2330,272,4
candidate1,3,3,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,97311,6311,272,4
candidate1,3,3,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9807,60995,273,4
candidate1,3,3,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,634,985600,275,4
candidate1,3,3,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5332381,291,4
candidate1,3,4,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,254204,2375,272,4
candidate1,3,4,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,94779,6430,272,4
candidate1,3,4,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9786,60617,273,4
candidate1,3,4,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,604,961690,275,4
candidate1,3,4,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5216569,346,4
candidate1,3,4,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,243535,2588,288,4
candidate1,3,4,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,79581,8119,288,4
candidate1,3,4,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9361,64130,289,4
candidate1,3,4,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,519,1369239,292,4
candidate1,3,4,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,6176165,310,4
candidate1,3,5,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,254929,2466,288,4
candidate1,3,5,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,78310,11423,288,4
candidate1,3,5,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,4246,158297,289,4
candidate1,3,5,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,573,1401160,291,4
candidate1,3,5,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,7691460,311,4
candidate1,3,5,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,248134,2373,272,4
candidate1,3,5,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,78728,8491,272,4
candidate1,3,5,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9589,69033,273,4
candidate1,3,5,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,589,1149376,275,4
candidate1,3,5,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,92,5604540,294,4
candidate1,3,6,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,252741,2410,272,4
candidate1,3,6,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,80224,7931,272,4
candidate1,3,6,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9170,66859,273,4
candidate1,3,6,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,396,1750698,277,4
candidate1,3,6,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,109,7881661,293,4
candidate1,3,6,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,242408,2405,288,4
candidate1,3,6,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,81127,7644,288,4
candidate1,3,6,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9489,62493,289,4
candidate1,3,6,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,621,1071309,291,4
candidate1,3,6,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5818359,307,4
candidate1,3,7,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,249627,2363,288,4
candidate1,3,7,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,79005,7699,288,4
candidate1,3,7,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9528,62247,289,4
candidate1,3,7,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,532,981875,291,4
candidate1,3,7,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5106147,308,4
candidate1,3,7,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,253411,2351,272,4
candidate1,3,7,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,78651,7615,272,4
candidate1,3,7,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9507,70104,273,4
candidate1,3,7,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,388,1545098,299,4
candidate1,3,7,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,6438478,291,4
