campaign,procs,benchmark,class,old_ns,new_ns,speedup,p_time,faster_pairs,old_bytes,new_bytes,p_bytes,old_allocs,new_allocs,p_allocs,target_pass,control_time_regression,bytes_increase,allocs_increase
1,12,BenchmarkSiLUBackwardF64_256K_cpu,control,270408.0,268571.0,1.0068399045317626,0.8047785547785548,4,4194702,4194700,0.30128205128205127,7,7,1.0,false,false,false,false
1,12,BenchmarkSigmoidF64_64K_cpu,control,100573.0,101490.0,0.9909646270568528,0.62004662004662,3,524614,524614,1.0,6,6,1.0,false,false,false,false
1,12,BenchmarkSoftplusF64_256K_cpu,control,278626.0,278621.0,1.0000179455245657,0.534965034965035,2,2097485,2097484,0.20454545454545456,6,6,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29574.0,23530.0,1.2568635784105398,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,751237.0,538890.0,1.3940451669171816,0.0005827505827505828,7,2097521,2097502,0.0005827505827505828,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,50072.0,23632.0,2.1188219363574814,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,1200705.0,540991.0,2.219454667452878,0.0005827505827505828,7,2097515,2097497,0.0005827505827505828,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9373.0,16338.0,0.5736932305055699,0.0005827505827505828,0,16680,16680,1.0,5,5,1.0,false,true,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,526855.0,415079.0,1.269288496888544,0.0005827505827505828,7,2097493,2097486,0.020396270396270396,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30346.0,16313.0,1.8602341690676147,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,933420.0,421295.0,2.21559714689232,0.0005827505827505828,7,2097484,2097483,0.40034965034965037,6,6,1.0,true,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28369.0,22269.0,1.2739233912613948,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3948155.0,2859955.0,1.3804954973067758,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48561.0,22250.0,2.1825168539325843,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7424138.0,2857692.0,2.5979489742071573,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,8934.0,15029.0,0.59445072859139,0.0005827505827505828,0,0,0,1.0,0,0,1.0,false,true,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2594784.0,1928629.0,1.3454033927727935,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,29015.0,15030.0,1.930472388556221,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
1,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5464984.0,1926793.0,2.836310906257185,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
2,1,BenchmarkSiLUBackwardF64_256K_cpu,control,712846.0,712671.0,1.0002455551018632,0.7103729603729604,4,4194648,4194648,1.0,6,6,1.0,false,false,false,false
2,1,BenchmarkSigmoidF64_64K_cpu,control,130718.0,129899.0,1.006304898421081,0.03787878787878788,6,524584,524584,1.0,5,5,1.0,false,false,false,false
2,1,BenchmarkSoftplusF64_256K_cpu,control,1098229.0,1100365.0,0.9980588259350307,0.20862470862470864,3,2097448,2097448,1.0,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29288.0,23441.0,1.2494347510771724,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,3981995.0,2888665.0,1.3784897175684963,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49746.0,23406.0,2.125352473724686,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,7480968.0,2887281.0,2.591007941381528,0.0005827505827505828,7,2097480,2097464,0.0005827505827505828,5,5,1.0,true,false,false,false
2,1,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9508.0,16162.0,0.5882935280287093,0.0005827505827505828,0,16680,16680,1.0,5,5,1.0,false,true,false,false
